entry_time,exit_time,exit_reason,mfe_bucket,mfe_bucket_label,mfe_pts,mae_pts,final_pts,window_bars,entry_open,entry_high,entry_low,entry_close,exit_open,exit_high,exit_low,exit_close,fast_rsi_entry,mid_rsi_entry,slow_rsi_entry,fast_adx_entry
2017-07-14 11:25:00,2017-07-14 13:20:00,cross_down,6,6 (+15 to +21 pts),17.100000000000364,-7.099999999998545,7.950000000000728,23,9857.35,9864.15,9856.7,9863.8,9873.75,9874.5,9871.55,9871.75,43.16919768130122,41.39113182585264,71.27340873703955,23.005875896725726
2017-07-14 14:10:00,2017-07-14 14:40:00,cross_down,2,2 (+3 to +5 pts),3.25,-13.049999999999272,-12.199999999998909,6,9878.7,9879.9,9876.5,9877.4,9873.0,9873.7,9864.35,9865.2,52.08120592878346,49.69612949093505,68.07632502160742,27.869993507910007
2017-07-14 14:55:00,2017-07-14 15:25:00,session_end_forced,5,5 (+11 to +15 pts),11.700000000000728,-8.799999999999272,4.300000000001091,6,9875.9,9883.15,9872.25,9881.05,9887.9,9888.3,9879.5,9885.35,51.755862564270785,49.01118763179514,67.27168401992985,24.266855305849113
2017-07-17 13:45:00,2017-07-17 14:00:00,cross_down,1,1 (+0 to +3 pts),2.25,-4.399999999999636,-1.9499999999989086,3,9911.35,9913.6,9910.85,9913.05,9910.75,9913.15,9908.65,9911.1,57.6637995617035,56.65499816718272,70.65641968908099,23.072145684127968
2017-07-17 14:05:00,2017-07-17 14:55:00,cross_down,5,5 (+11 to +15 pts),12.900000000001455,-4.5,6.75,10,9911.0,9916.95,9910.8,9915.3,9920.75,9924.35,9919.6,9922.05,58.586523703525856,56.872579181413904,70.65641968908099,25.42188081224773
2017-07-18 10:25:00,2017-07-18 10:55:00,cross_down,2,2 (+3 to +5 pts),3.350000000000364,-16.850000000000364,-15.649999999999636,6,9875.7,9876.75,9871.05,9873.4,9864.6,9865.6,9856.55,9857.75,36.518829006259296,36.412001938971,63.5638803586366,56.78797355921442
2017-07-18 11:00:00,2017-07-18 11:05:00,cross_down,2,2 (+3 to +5 pts),5.150000000001455,-12.349999999998545,-12.149999999999636,1,9857.8,9859.7,9854.3,9854.55,9854.55,9855.3,9842.2,9842.4,28.010915446627656,27.78841803976343,63.5638803586366,61.81311332691462
2017-07-18 11:15:00,2017-07-18 14:50:00,cross_down,6,6 (+15 to +21 pts),16.950000000000728,-40.0,-30.69999999999891,43,9853.95,9857.15,9851.95,9855.05,9821.55,9828.6,9815.05,9824.35,28.807387955387348,24.830037361605118,56.283690034996994,67.16870999984134
2017-07-20 13:20:00,2017-07-20 15:25:00,session_end_forced,4,4 (+8 to +11 pts),8.299999999999272,-17.700000000000728,-10.450000000000728,25,9878.6,9882.8,9876.1,9881.7,9871.55,9873.35,9869.55,9871.25,41.287249042778086,40.94171392961218,55.60274902728854,43.33671986240664
2017-07-21 13:50:00,2017-07-21 15:25:00,session_end_forced,10,10 (+64 to +504 pts),65.65000000000146,-3.5,55.100000000000364,19,9857.05,9861.75,9855.55,9859.05,9920.8,9924.7,9912.0,9914.15,37.142491064380856,36.03115049143017,50.53979352613813,32.79941098762488
2017-07-24 14:15:00,2017-07-24 14:40:00,cross_down,3,3 (+5 to +8 pts),7.5,-5.25,-4.5,5,9975.5,9976.55,9969.3,9974.55,9979.95,9981.15,9969.75,9970.05,69.32765648957766,69.03070149658002,65.18407701911582,28.22421789653155
2017-07-25 12:35:00,2017-07-25 12:45:00,cross_down,2,2 (+3 to +5 pts),3.350000000000364,-4.849999999998545,-4.449999999998909,2,9960.6,9961.15,9956.8,9957.8,9957.35,9958.3,9952.95,9953.35,44.467414358083914,44.02625806034419,64.25507061661328,24.21705404302439
2017-07-25 13:30:00,2017-07-25 15:10:00,cross_down,7,7 (+21 to +28 pts),26.350000000000364,-2.350000000000364,6.75,20,9953.5,9959.75,9952.55,9954.9,9966.25,9968.0,9960.2,9961.65,43.45745261998867,41.03234971675316,62.34796064483738,21.57221641917014
2017-07-26 09:25:00,2017-07-26 11:15:00,cross_down,4,4 (+8 to +11 pts),9.299999999999272,-9.350000000000364,1.2999999999992724,22,9983.3,9988.2,9982.5,9987.7,9990.05,9990.9,9987.75,9989.0,58.51788704441674,53.81152978694776,60.83873519657594,38.27310647228869
2017-07-26 11:45:00,2017-07-26 12:40:00,cross_down,5,5 (+11 to +15 pts),14.349899999999252,-2.75,6.649999999999636,11,9994.1,9997.55,9993.7,9996.45,10007.7,10008.6,10001.8999,10003.1,66.14274756049241,63.97116633023931,63.54959656156794,33.136821284369326
2017-07-26 14:50:00,2017-07-26 15:25:00,session_end_forced,5,5 (+11 to +15 pts),13.899900000000343,-2.899999999999636,7.700000000000728,7,10012.0,10014.7999,10009.1,10012.0,10024.2999,10025.7999,10019.6,10019.7,61.44762832107528,60.22071780649772,66.92442857122455,23.33088974464093
2017-07-27 14:20:00,2017-07-27 14:30:00,cross_down,3,3 (+5 to +8 pts),6.399999999999636,-16.100000000000364,-8.600000000000364,2,10079.8999,10082.0,10076.2,10079.3999,10080.3999,10081.7999,10063.2999,10070.7999,51.13950369617645,51.01722816292547,76.11307686841963,24.590294018866214
2017-07-28 10:00:00,2017-07-28 15:25:00,session_end_forced,8,8 (+29 to +41 pts),39.95000000000073,-41.54999999999927,15.950000000000728,65,9977.3,9986.2,9975.9,9986.05,10023.1,10024.2,10001.2,10002.0,29.9775920973185,27.355051876034924,63.882929865007775,57.31070810845145
2017-07-31 15:05:00,2017-07-31 15:25:00,session_end_forced,4,4 (+8 to +11 pts),9.199899999999616,-10.0,2.0,4,10066.8999,10076.7,10066.7,10076.7,10084.8999,10085.8999,10076.7999,10078.7,64.6500517536748,63.50943259912285,58.14856151386295,21.15316085262265
2017-08-01 12:30:00,2017-08-01 12:55:00,cross_down,2,2 (+3 to +5 pts),3.400100000000748,-3.7998999999999796,-2.5,5,10087.3999,10091.0,10087.0,10090.7999,10089.7,10090.2,10087.3999,10088.2999,60.011951578635625,59.11901532123463,66.70385490867073,25.178276583407587
2017-08-01 13:55:00,2017-08-01 14:15:00,cross_down,3,3 (+5 to +8 pts),7.5,-3.0,-0.20010000000002037,4,10096.5,10098.0,10091.2999,10093.0,10097.2,10099.0,10090.0,10092.7999,58.180369664717574,57.48197331978896,66.5413056711054,27.13287921745563
2017-08-01 15:10:00,2017-08-01 15:25:00,session_end_forced,4,4 (+8 to +11 pts),9.899999999999636,-8.200000000000728,2.699899999999616,3,10111.0,10120.1,10110.5,10118.7,10125.7999,10128.0,10117.7999,10121.3999,57.81919817842514,52.35770947544918,67.482996289657,33.38511366782635
2017-08-02 13:35:00,2017-08-02 14:15:00,cross_down,2,2 (+3 to +5 pts),4.699899999999616,-15.300100000000384,-8.5,8,10097.3999,10100.1,10096.7,10098.1,10092.6,10094.0,10088.7999,10089.6,46.84600695310869,44.81169812960278,63.58598044057348,28.544499510437724
2017-08-02 15:00:00,2017-08-02 15:25:00,session_end_forced,6,6 (+15 to +21 pts),17.0,-27.699899999999616,-23.699899999999616,5,10077.7,10085.2999,10075.0,10081.8999,10078.2999,10079.1,10054.2,10058.2,39.87856337758272,38.84351345529554,61.657580889278805,42.36316751982245
2017-08-07 14:25:00,2017-08-07 14:55:00,cross_down,4,4 (+8 to +11 pts),8.199899999999616,-4.700000000000728,-2.0,6,10071.2999,10076.3999,10069.5,10074.2,10075.7999,10076.5,10071.7999,10072.2,53.60451295215672,52.69394428241098,59.76223888255332,27.64039030320454
2017-08-08 09:25:00,2017-08-08 09:30:00,cross_down,3,3 (+5 to +8 pts),5.70010000000002,-13.0,-9.199899999999616,1,10075.3999,10080.6,10071.6,10074.8999,10075.1,10076.6,10061.8999,10065.7,47.335740949619954,45.779270889202806,54.588548898349785,36.46240852799755
2017-08-08 09:35:00,2017-08-08 09:40:00,cross_down,1,1 (+0 to +3 pts),1.8999999999996362,-14.29989999999998,-12.5,1,10066.0,10074.2999,10064.2999,10072.3999,10072.0,10073.2999,10058.1,10059.8999,49.07444458371954,48.24501303786349,54.588548898349785,28.530828214806757
2017-08-17 09:20:00,2017-08-17 09:50:00,cross_down,7,7 (+21 to +28 pts),23.850000000000364,-12.5,17.25,6,9906.1,9915.1,9901.5,9914.0,9934.9,9937.3,9929.55,9931.25,83.20618352967601,82.79288971071449,67.19212105638371,64.73407151245875
2017-08-17 12:45:00,2017-08-17 13:25:00,cross_down,4,4 (+8 to +11 pts),10.5,-11.25,-7.0,8,9923.4,9930.0,9917.25,9928.5,9934.7,9936.3,9920.95,9921.5,61.84570421000022,61.38960690769254,69.66191084538396,36.393407013256756
2017-08-18 10:15:00,2017-08-18 13:25:00,cross_down,2,2 (+3 to +5 pts),4.450000000000728,-61.79999999999927,-56.75,38,9844.2,9849.65,9840.5,9845.8,9792.75,9797.6,9784.0,9789.05,36.36591991395049,34.949577197106606,59.6073788244256,49.18655903286883
2017-08-24 12:50:00,2017-08-24 13:10:00,cross_down,2,2 (+3 to +5 pts),3.850000000000364,-11.799999999999272,-10.899999999999636,4,9870.65,9879.6,9869.25,9875.75,9873.1,9873.5,9863.95,9864.85,65.73105052657618,63.23790605332082,62.65473982661911,32.73657521148267
2017-08-24 14:55:00,2017-08-24 15:05:00,cross_down,3,3 (+5 to +8 pts),7.75,-8.950000000000728,-7.399999999999636,2,9868.95,9878.0,9868.4,9870.25,9870.25,9870.75,9861.3,9862.85,58.20968507784499,56.490535445387586,64.82411770898737,23.14450100018162
2017-08-28 09:20:00,2017-08-28 10:40:00,cross_down,7,7 (+21 to +28 pts),24.849999999998545,-9.5,19.0,16,9889.5,9894.9,9887.75,9891.45,9911.65,9913.8,9910.15,9910.45,58.74655261736791,56.1034426410379,66.02394653330106,27.228818336724956
2017-08-28 15:00:00,2017-08-28 15:25:00,session_end_forced,1,1 (+0 to +3 pts),2.0499999999992724,-14.75,-4.5,5,9900.6,9915.5,9900.5,9915.25,9916.0,9917.3,9910.65,9910.75,52.40466630494379,51.19262248497294,71.38803173325236,24.27935628773085
2017-08-29 10:45:00,2017-08-29 13:25:00,cross_down,4,4 (+8 to +11 pts),7.850000000000364,-36.45000000000073,-34.600000000000364,32,9838.0,9840.25,9837.4,9839.1,9810.35,9811.55,9802.65,9804.5,31.284868897409964,28.47371364922831,62.545711193486255,66.9711780340909
2017-08-31 10:20:00,2017-08-31 10:30:00,cross_down,1,1 (+0 to +3 pts),1.1000000000003638,-7.049999999999272,-5.699999999998909,2,9873.1,9876.4,9872.95,9875.3,9874.2,9874.4,9868.25,9869.6,44.34845192051015,44.12558139168972,54.71444424893516,11.397099099951351
2017-08-31 10:50:00,2017-08-31 11:10:00,cross_down,1,1 (+0 to +3 pts),1.4500000000007276,-8.349999999998545,-3.75,4,9870.35,9871.9,9868.85,9870.8,9867.6,9869.25,9862.45,9867.05,42.116600738823564,41.55080715211949,54.71444424893516,16.96527751721902
2017-08-31 12:05:00,2017-08-31 13:20:00,cross_down,8,8 (+29 to +41 pts),28.649999999999636,-11.549999999999272,7.0,15,9861.45,9872.85,9860.85,9872.4,9875.8,9880.95,9875.6,9879.4,43.83687902301466,37.857073925153784,53.42043629915878,39.23051422702842
2017-08-31 14:05:00,2017-08-31 15:25:00,session_end_forced,8,8 (+29 to +41 pts),40.649999999999636,-2.0500000000010914,31.399999999999636,16,9884.8,9886.85,9883.6,9884.45,9921.0,9924.25,9913.95,9915.85,53.19828050923097,52.23643258569595,53.366689908453935,19.527356412499184
2017-09-04 12:30:00,2017-09-04 15:25:00,session_end_forced,8,8 (+29 to +41 pts),33.80000000000109,-14.75,14.050000000001091,35,9875.4,9891.5,9875.15,9889.9,9916.15,9916.65,9900.45,9903.95,25.643273012713514,23.05181945243394,58.34183033118646,64.84920334642744
2017-09-05 13:10:00,2017-09-05 15:10:00,cross_down,8,8 (+29 to +41 pts),38.600000000000364,-4.0,30.5,24,9923.8,9926.4,9923.5,9924.5,9957.05,9958.3,9954.45,9955.0,48.453593012155174,47.293305997271574,50.93883118784029,23.46494346583634
2017-09-06 10:45:00,2017-09-06 14:00:00,cross_down,8,8 (+29 to +41 pts),33.399999999999636,-6.149999999999636,24.649999999999636,39,9894.45,9898.55,9892.0,9898.15,9924.35,9925.15,9921.8,9922.8,37.89933459227045,34.67839089451272,51.31033356196674,51.9336987965156
2017-09-07 12:55:00,2017-09-07 13:10:00,cross_down,1,1 (+0 to +3 pts),1.6000000000003638,-5.700000000000728,-5.050000000001091,3,9929.55,9931.95,9928.3,9930.35,9926.6,9927.25,9924.65,9925.3,47.38702394826792,46.3848745641129,51.109849534971616,26.949892210196897
2017-09-07 13:35:00,2017-09-07 14:30:00,cross_down,6,6 (+15 to +21 pts),17.0,-4.0,0.25,11,9926.7,9930.05,9925.9,9929.9,9934.5,9934.6,9926.9,9930.15,48.77694887050114,45.96058123059726,50.86936255931032,17.62759252999805
2017-09-07 14:55:00,2017-09-07 15:00:00,cross_down,1,1 (+0 to +3 pts),2.5,-9.399999999999636,-6.799999999999272,1,9938.65,9945.9,9936.5,9943.4,9944.3,9944.75,9934.0,9936.6,55.26483586046235,52.88905412101517,51.920536281851035,22.894420005109865
2017-09-08 09:20:00,2017-09-08 10:15:00,cross_down,2,2 (+3 to +5 pts),4.850000000000364,-12.149999999999636,0.0,11,9953.25,9960.0,9952.05,9958.75,9956.55,9959.75,9955.7,9958.75,54.440610068085554,51.13780051707149,51.56340584007621,28.669042641099942
2017-09-08 13:55:00,2017-09-08 14:25:00,cross_down,2,2 (+3 to +5 pts),4.450000000000728,-20.850000000000364,-20.44999999999891,6,9928.2,9935.6,9927.25,9934.15,9925.3,9925.6,9913.3,9913.7,44.02108885664211,40.54294487810034,52.60517417546536,27.69102683497488
2017-09-08 14:30:00,2017-09-08 15:25:00,session_end_forced,7,7 (+21 to +28 pts),25.299999999999272,-8.700000000000728,2.149999999999636,11,9914.35,9922.95,9913.3,9922.0,9928.7,9929.95,9923.05,9924.15,42.16150074517265,40.04611426585318,51.79706718257085,25.34367953082934
2017-09-11 11:25:00,2017-09-11 12:20:00,cross_down,4,4 (+8 to +11 pts),10.29989999999998,-8.100000000000364,3.3999000000003434,11,9994.9,10003.1,9994.4,10002.5,10008.8999,10009.7999,10004.2999,10005.8999,64.97475179399123,63.596898001852836,57.35124061577549,29.320899984462628
2017-09-11 14:05:00,2017-09-11 14:25:00,cross_down,1,1 (+0 to +3 pts),3.199899999999616,-6.899999999999636,-2.399999999999636,4,10018.0,10024.7,10016.7,10023.6,10022.7,10023.2,10019.7,10021.2,71.839241055801,70.87154326224697,63.79141284477795,53.727917494374736
