symbol,timestamp,close,daily_rsi,weekly_rsi,daily_adx,weekly_adx,mfe,mae,final_ret,window_days,fwd_1w,fwd_2w,fwd_30d,fwd_60d,fwd_90d,fwd_180d,fwd_1y,wrsi_bucket,dadx_bucket,wadx_bucket,mfe_bucket
TCS,2014-06-11,1103.47,51.46258413558284,48.95546985349158,24.65643017924659,25.580417386233925,0.12760655024604195,0.0,0.11636927147996778,40.0,0.009116695515057005,0.04695188813470219,0.08495926486447303,0.11847173008781398,0.19226621475889694,0.13859008400772121,0.16509737464543672,40-50,20-25,25-30,7
JSWSTEEL,2011-02-14,88.79,35.342658687456485,32.173867682898226,50.98519222854396,46.58047467664542,0.12760445996170744,-0.031872958666516626,0.02590381799752217,87.0,0.036490595787813884,-0.019822052032886672,0.01993467732852805,0.07928820813154625,0.038968352291924635,-0.27390471899988744,-0.06734992679355789,30-40,30+,30+,7
NTPC,2021-02-09,99.95,55.614770634507096,55.01756987435842,28.791564207056933,25.596345334457506,0.12756378189094542,-0.04752376188094043,0.03101550775387696,86.0,-0.01950975487743878,0.03451725862931476,0.09154577288644306,-0.00900450225112559,0.07753876938469229,0.16758379189594796,0.3511755877938971,50-60,25-30,25-30,7
TCS,2007-11-26,246.28,38.73981928750828,38.0168457086831,16.85084283114459,30.352697375060362,0.1275377618970277,-0.1897027773266201,-0.11304206594120514,66.0,0.06577878837095996,0.05124248822478461,0.11694006821503966,-0.10203833035569265,-0.08563423745330523,-0.030087705051161318,-0.4883872015592009,30-40,15-20,30+,7
KOTAKBANK,2025-01-16,361.11,50.928574101291986,50.29248214558345,18.006998418469564,17.68088491636413,0.12744039212428349,-0.02600315693279054,0.12744039212428349,63.0,0.04945861371881155,0.05314170197446755,0.07740023815457886,0.10387416576666397,0.17604054166320515,0.21187449807537861,0.15809587106421863,50-60,15-20,15-20,7
ADANIPOWER,2014-10-20,8.72,39.32887576943868,38.403595425959054,31.458588632668672,29.38434198280416,0.1272935779816513,0.0,0.0,50.0,0.041284403669724634,0.1272935779816513,0.06307339449541272,-0.03325688073394506,0.06995412844036686,0.044724770642201594,-0.28669724770642213,30-40,30+,25-30,7
AXISBANK,2019-08-23,663.9,38.897265504898684,36.74289253317719,42.1837565177629,39.58632279372186,0.12712757945473707,-0.03871064919415568,0.08894411809007385,87.0,0.0,0.010845006778129385,0.09278505799066128,0.07358035848772415,0.11070944419340267,0.11620726012953764,-0.3285133303208314,30-40,30+,30+,7
BHARTIARTL,2007-11-30,423.37,52.478687659652316,52.36670899980816,15.112104394469686,23.4364804675295,0.1269102676146161,-0.1176276070576564,-0.032005101920306145,63.0,0.02047854122871251,0.0157545409452724,0.06056168363370107,-0.09469258568155525,-0.09936934596216074,-0.058813803528828146,-0.307414318444859,50-60,15-20,20-25,7
BAJAJ-AUTO,2022-03-15,3454.05,47.3886248820064,46.246769023027355,30.748580536716027,28.5825083714962,0.1268221363327109,0.0,0.1268221363327109,42.0,0.0585978778535341,0.06805054935510468,0.07543318712815372,0.07579508113663658,0.12368089633908008,0.12051070482477089,0.07989172131266198,40-50,30+,25-30,7
LT,2016-12-23,891.64,40.438307920753935,37.793250573623865,41.5472308923634,40.048563369841546,0.12665425508052586,0.0,0.11524830649140916,77.0,0.008703064016867712,0.039993719438338404,0.04194517966892475,0.10904625185052264,0.15435601812390654,0.31159436543896635,0.42400520389394836,30-40,30+,30+,7
EICHERMOT,2018-02-01,2804.74,39.5754253760811,35.85966742370455,30.875018757747,25.70229709950597,0.12663918937227692,-0.04717014767857264,-0.02706489728103134,174.0,0.005369481663184628,0.010446601110976506,-0.017794875817366274,0.00860685838972608,0.08823990815547966,-0.008870697462153188,-0.29892253827449244,30-40,30+,25-30,7
NESTLEIND,2010-11-02,177.63,69.8458054474547,69.30724426075736,40.63987522690026,43.69630089385363,0.1266114958058886,-0.09902606541687775,-0.03107583178517137,107.0,0.1266114958058886,0.09683049034509938,0.02634690086134106,0.07971626414457011,-0.06333389630130049,0.11197432866069934,0.2397117604008332,60+,30+,30+,7
POWERGRID,2012-01-20,57.07,50.71495587014101,49.70627435385484,13.063500826303276,12.139757764268378,0.12651130190993531,-0.008936393902225337,0.10390748203960043,84.0,0.016646223935517845,0.05414403364289466,0.08953916243210092,0.0590502891186262,0.13001577010688625,0.09602242859646037,0.12265638689328884,40-50,<15,<15,7
ETERNAL,2025-06-02,241.2,51.70953737951219,49.528072139458224,18.068898932288167,20.315962509331925,0.1264510779436152,-0.014510779436152532,0.1264510779436152,49.0,0.06484245439469305,0.045398009950248897,0.07690713101160873,0.2634742951907132,0.3312603648424546,0.25,0.03959369817578784,40-50,15-20,20-25,7
LT,2019-08-27,1356.95,40.950136702516645,40.153438428576635,36.73811115692833,32.92741580364746,0.12642322856405896,-0.06827812373337272,-0.028740926342164408,112.0,-0.04609602417185599,0.004937543756218021,0.09794023361214488,0.057076531928221375,0.017613029219941678,-0.07166807914808948,-0.28593536976307155,40-50,30+,30+,7
HINDUNILVR,2011-05-09,280.1,48.15881150001977,45.58027516023263,23.6156829229251,18.209501016225946,0.12641913602284882,0.0,0.1025348089967868,35.0,0.06883255980007119,0.06761870760442701,0.10060692609782196,0.1710103534451981,0.12274187790074964,0.33695108889682257,0.5130667618707603,40-50,20-25,15-20,7
ULTRACEMCO,2025-06-19,11420.0,50.12505572146342,49.95745751377625,16.356591854150032,15.44194388683905,0.12635726795096325,0.0,0.12635726795096325,61.0,0.046497373029772415,0.08563922942206648,0.10131348511383531,0.1177758318739055,0.113922942206655,0.00945709281961471,-0.004640980735551636,40-50,15-20,15-20,7
NESTLEIND,2016-05-16,314.22,55.53589035520238,52.842614825828775,36.16085958912222,30.247774497250752,0.1263445993253134,-0.05056966456622758,0.1263445993253134,67.0,-0.05056966456622758,0.0037553306600468517,0.0330660047100757,0.055470689325949785,0.07396091910126645,-0.052001782190821855,0.030997390363439514,50-60,30+,30+,7
TVSMOTOR,2015-05-05,240.35,40.59286981255255,39.30783147970136,36.505461866837976,42.455121061329876,0.12627418348242148,-0.1042230081131682,-0.07821926357395459,121.0,-0.07385063449136675,-0.07613896401081743,-0.05866444768046597,0.10151861868109013,-0.042646141044310415,0.13896401081755783,0.20948616600790504,30-40,30+,30+,7
HINDZINC,2026-07-22,535.4,43.70755497615966,43.064432204538754,20.272593006136056,28.84920314208754,0.1262607396339186,-0.015875980575270843,0.04034366828539415,28.0,0.0024280911468061994,0.11496077698916718,,,,,,40-50,20-25,25-30,7
BAJAJ-AUTO,2023-04-03,3993.75,59.13266487179533,58.11902046496335,20.151868454440173,25.222522759580993,0.1262597809076682,0.0,0.11752112676056337,32.0,0.016989045383411616,0.06525195618153368,0.11370266040688581,0.16910172143974966,0.15446635367762118,0.25607511737089195,1.3226541471048514,50-60,20-25,25-30,7
HINDUNILVR,2021-03-09,2162.6,47.01801064745393,46.85544501835284,18.908216979323086,27.465100842209832,0.12622306482937207,0.0,0.08799130676038103,98.0,0.020715805049477565,0.06313234070100804,0.09615740312586718,0.10661703505040232,0.06404328123554981,0.26476925922500705,-0.09124664755387035,40-50,15-20,25-30,7
AXISBANK,2013-04-16,272.66,46.74428082588848,45.27037517487802,47.16289542318303,33.19090675856158,0.12612777818528564,-0.096713856084501,-0.010635956869361252,76.0,0.0597814127484777,0.09491674613071233,0.12293699112447731,-0.0346585491087803,-0.03990317611677563,-0.18645932663390308,0.050355754419423304,40-50,30+,30+,7
TVSMOTOR,2022-03-16,609.7,44.7201806248776,44.129784938920444,32.47055584084051,20.33386003853925,0.12612760373954401,-0.012219124159422723,0.10898802689847464,62.0,0.0023782187961292056,0.019845825815974827,0.07593898638674745,0.07183860915204199,0.22994915532228943,0.72297851402329,0.7280629817943247,40-50,30+,20-25,7
M&M,2009-08-05,230.29,76.07504627098206,75.29274129058906,50.92261584722893,56.916744104789394,0.12610187155325892,-0.19649138043336667,0.11780798124104397,100.0,-0.15580355204307605,-0.19649138043336667,-0.05827434973294532,-0.023188154066611677,-0.029180598375960765,0.13678405488731604,0.40105953363150815,60+,30+,30+,7
SBIN,2025-03-05,730.35,36.97204961838726,34.747574530365576,41.83556992105939,38.12855460082755,0.12603546244951036,-0.009995207777093285,0.09776134729924002,69.0,-0.009995207777093285,0.020195796535907418,0.05079756281235026,0.08167317039775446,0.10878345998493866,0.10364893544191123,0.6012870541521187,30-40,30+,30+,7
ULTRACEMCO,2021-07-13,7128.85,65.18275175081638,61.96927072809913,38.73773182266862,32.426465578819304,0.12588285628116735,-0.001514970857852238,0.07114752028728333,108.0,0.041500382249591405,0.0655645721259388,0.04767248574454497,0.1144083547837309,0.02825140099735579,0.06400751874425747,-0.18655182813497273,60+,30+,30+,7
